model,split,f1_mean,f1_std,f1__ci95,precision_mean,precision_std,precision__ci95,recall_mean,recall_std,recall__ci95,micro_f1_mean,micro_f1_std,micro_f1__ci95,macro_f1_mean,macro_f1_std,macro_f1__ci95,weighted_f1_mean,weighted_f1_std,weighted_f1__ci95
camembert-base_3,test,0.8948952382936552,0.0016075213628020048,0.0019960014025347,0.8811421246707967,0.00195235154724135,0.002424164628047023,0.9090966254453994,0.0038780186367615766,0.0048151961256300965,0.8948952382936552,0.0016075213628020048,0.0019960014025347,0.881563863724856,0.004029173370799411,0.005002879517042957,0.8949028410458691,0.0016351519082379183,0.0020303092560531944
camembert-bio_1,test,0.8938432723128953,0.005731933853335949,0.007117135905772696,0.8814805408068562,0.005306741860269142,0.006589190315657065,0.9065814294697129,0.008057192134554688,0.010004325400087083,0.8938432723128953,0.005731933853335949,0.007117135905772696,0.8800533456977572,0.004373484363101964,0.005430398080370845,0.8938594018788338,0.005718558561752229,0.007100528287747672
camembert-base_2,test,0.8937258110625989,0.005476402191216871,0.006799851440518192,0.8822815826090045,0.0060356031244254305,0.007494191107045232,0.905491511213582,0.0068189990212558504,0.008466905588480107,0.8937258110625989,0.005476402191216871,0.006799851440518192,0.8855826716610082,0.009609542933751712,0.011931823500032912,0.8937410607163594,0.005500614819452741,0.006829915389300575
camembert-base_1,test,0.8935695881370014,0.002153464678870607,0.0026738795631570506,0.8797233465616134,0.002261975650059289,0.0028086137294921682,0.9078599874240201,0.002369496166181119,0.0029421180834289244,0.8935695881370014,0.002153464678870607,0.0026738795631570506,0.88273225290775,0.004566298250052687,0.005669808142151267,0.8935949423345407,0.00218271001706217,0.0027101924467048395
camembert-bio_2,test,0.8928612516612795,0.003469638372545572,0.004308125053976158,0.8864306033930447,0.004729641914335649,0.005872626089426066,0.8994131209390066,0.0056438382930948825,0.007007750820219718,0.8928612516612795,0.003469638372545572,0.004308125053976158,0.8810623248188467,0.006910469053100373,0.008580480633935962,0.8928348366613115,0.0034325260476109776,0.004262044016215248
bert-base-multilingual_1,test,0.892387960876883,0.0024167530114488412,0.003000795206866552,0.8820479896689637,0.001958887751416547,0.0024322803974562253,0.9029763152378957,0.003387321238286395,0.004205914831931211,0.892387960876883,0.0024167530114488412,0.003000795206866552,0.8809896941621338,0.0040341044761086865,0.005009002292976811,0.8923869742271057,0.0024163651967203477,0.003000313671280215
bert-base-multilingual_2,test,0.8902111290411892,0.0021248411228337993,0.0026383387241256163,0.8795918901882589,0.005344105838393123,0.006635583822123309,0.9011108782225948,0.00152158385352183,0.0018892958911662038,0.8902111290411892,0.0021248411228337993,0.0026383387241256163,0.8797346241926627,0.002774263633721257,0.003444703275517631,0.8902249086756024,0.002073681487580054,0.0025748156468697915
xlm-roberta_1,test,0.8867455394210954,0.00200667402796481,0.002491614896654451,0.8698471053958471,0.002818657367237128,0.003499825376170153,0.9043177530915951,0.0020868065134919283,0.0025911125190200544,0.8867455394210954,0.00200667402796481,0.002491614896654451,0.8805240531075496,0.0050052458485454745,0.006214833572297767,0.8868107206661098,0.0020026781451665744,0.002486653352842838
fr-albert_1,test,0.8533605595423467,0.002870937460230983,0.004568302156507167,0.8477080717935396,0.0030961498704796826,0.0049266653579571815,0.8590966254453993,0.003949623766234491,0.006284732781057934,0.8533605595423467,0.002870937460230983,0.004568302156507167,0.8336805615258428,0.0009045096639798727,0.001439276719113314,0.853297540764165,0.002902789309354526,0.004618985556287003
camembert-base_2,val,0.9015086905470872,0.004484281987536778,0.005567971501718048,0.889762492231883,0.006130349646232973,0.007611834452128665,0.9136142625607778,0.007276828625944854,0.009035376125934294,0.9015086905470872,0.004484281987536778,0.005567971501718048,0.8923849525505216,0.0054248227392938685,0.0067358070920183555,0.9015330871546648,0.004529776821064048,0.005624460798613126
