model,split,entity,metric_name,value
camembert-base_1,test,differenciation,f1,0.8655744723557222
camembert-base_1,val,differenciation,f1,0.8294699925809426
camembert-bio_1,test,differenciation,f1,0.8569951416639086
camembert-bio_1,val,differenciation,f1,0.8812527136167869
camembert-bio_2,test,differenciation,f1,0.8912579957356077
camembert-bio_2,val,differenciation,f1,0.8467153284671534
camembert-base_1,test,differenciation,precision,0.8303510813390085
camembert-base_1,val,differenciation,precision,0.7741007210818532
camembert-bio_1,test,differenciation,precision,0.8182398313132049
camembert-bio_1,val,differenciation,precision,0.8714277462510873
camembert-bio_2,test,differenciation,precision,0.8565573770491803
camembert-bio_2,val,differenciation,precision,0.8055555555555556
camembert-base_1,test,differenciation,recall,0.9039999999999999
camembert-base_1,val,differenciation,recall,0.8934782608695653
camembert-bio_1,test,differenciation,recall,0.9004444444444445
camembert-bio_1,val,differenciation,recall,0.8921568627450981
camembert-bio_2,test,differenciation,recall,0.9288888888888889
camembert-bio_2,val,differenciation,recall,0.8923076923076924
camembert-base_1,test,morphologie,f1,0.9098106485043675
camembert-base_1,val,morphologie,f1,0.9157944431721535
camembert-bio_1,test,morphologie,f1,0.9113737558942698
camembert-bio_1,val,morphologie,f1,0.9189214615431147
camembert-bio_2,test,morphologie,f1,0.9118731563421829
camembert-bio_2,val,morphologie,f1,0.9079229122055674
camembert-base_1,test,morphologie,precision,0.8964231453936469
camembert-base_1,val,morphologie,precision,0.907734998525437
camembert-bio_1,test,morphologie,precision,0.8990133480044553
camembert-bio_1,val,morphologie,precision,0.913929317162536
camembert-bio_2,test,morphologie,precision,0.90852314474651
camembert-bio_2,val,morphologie,precision,0.9017013232514177
camembert-base_1,test,morphologie,recall,0.9236121391561806
camembert-base_1,val,morphologie,recall,0.92400548696845
camembert-bio_1,test,morphologie,recall,0.9240932642487045
camembert-bio_1,val,morphologie,recall,0.92401300510915
camembert-bio_2,test,morphologie,recall,0.9152479644707624
camembert-bio_2,val,morphologie,recall,0.9142309535218016
camembert-base_1,test,topographie,f1,0.8728116378631607
camembert-base_1,val,topographie,f1,0.856429785947555
camembert-bio_1,test,topographie,f1,0.8717911395350931
camembert-bio_1,val,topographie,f1,0.863296549438424
camembert-bio_2,test,topographie,f1,0.8745857761916901
camembert-bio_2,val,topographie,f1,0.8763683193818417
camembert-base_1,test,topographie,precision,0.8597214837513191
camembert-base_1,val,topographie,precision,0.844479418020845
camembert-bio_1,test,topographie,precision,0.8611755757357077
camembert-bio_1,val,topographie,precision,0.8496285750541738
camembert-bio_2,test,topographie,precision,0.8723620645817443
camembert-bio_2,val,topographie,precision,0.8786313750806972
camembert-base_1,test,topographie,recall,0.8863276258625096
camembert-base_1,val,topographie,recall,0.8687541638907395
camembert-bio_1,test,topographie,recall,0.8827498083312036
camembert-bio_1,val,topographie,recall,0.8775670372792674
camembert-bio_2,test,topographie,recall,0.8768208535650396
camembert-bio_2,val,topographie,recall,0.8741168914579319
